,h_0^s(x),h_1^s(h_0^s),h_2^s(h_1^s),y^s,O^s(x)
kkk0,"sin(0.259855985641479*x + sin(sin(x)) - 0.0675251332737048)
(6.74e-04)","0.8761 - cos(x0)
(7.54e-05)","-sin(sin(x0 - 0.359223753213882))
(2.37e-04)",-,"0.293325871229172 - 4.00619983673096*sin(sin(2.35700011253357*cos(0.407879710197449*sin(0.259855985641479*x + sin(sin(x)) - 0.0675251332737048) + 0.491293877363205) - 2.03155100675725))
6.11e-04"
kkk1,"5.148e-5*x1 - 0.007175*sin(x0) - 5.148e-5
(5.34e-02)","-x0 + x2
(1.39e-03)","-x0 + x2 + 0.001135
(6.88e-02)",-,"-0.0121448562960804*x1 + 1.69270057965163*sin(x0) + 0.00211503889097694
9.62e-02"
kkk2,"(x**2)**0.5*log(x**2)/(x + 1.198)
(3.26e-02)","-tan(x2 + x3**2 - x3)
(1.04e-02)","sin(x0/x2**2)
(2.00e-01)",-,"4.49118947982788*sin(6.70282600389934*(0.512959599494934*tan(0.0606230079817971*(1 - 0.19314887035756*sqrt(x**2)*log(x**2)/(x + 1.19759559631348))**2 - 0.0436343550682068 + 0.0843458734452724*sqrt(x**2)*log(x**2)/(x + 1.19759559631348)) + 0.265380054712296)/(tan(0.0606230079817971*(1 - 0.19314887035756*sqrt(x**2)*log(x**2)/(x + 1.19759559631348))**2 - 0.0436343550682068 + 0.0843458734452724*sqrt(x**2)*log(x**2)/(x + 1.19759559631348)) + 0.634918820490761)**2) + 7.90458488464355
2.22e-01"
kkk3,"-sin(0.237831536167454*x0 + sin(0.233493611216545*x1))
(3.86e-02)","x1*x2**2*sin(x1)
(3.64e-03)","x0*(-x2 + x3)
(2.87e-04)","-0.9905 + x3/x0
(1.32e-02)","17.0754375457764*(-0.809663593769073*(-1.27793219419878*(0.572184205055237 - 0.551843345165253*sin(0.237831536167454*x0 + sin(0.233493611216545*x1)))*(0.934790112494514*sin(0.237831536167454*x0 + sin(0.233493611216545*x1)) + 1)**2*sin(0.551843345165253*sin(0.237831536167454*x0 + sin(0.233493611216545*x1)) - 0.572184205055237) + 0.38814902305603)*(-0.880073027487943*(0.572184205055237 - 0.551843345165253*sin(0.237831536167454*x0 + sin(0.233493611216545*x1)))*(0.934790112494514*sin(0.237831536167454*x0 + sin(0.233493611216545*x1)) + 1)**2*sin(0.551843345165253*sin(0.237831536167454*x0 + sin(0.233493611216545*x1)) - 0.572184205055237) - 0.120144009590149) + 0.431423395872116)/(-0.512076199054718*(-1.27793219419878*(0.572184205055237 - 0.551843345165253*sin(0.237831536167454*x0 + sin(0.233493611216545*x1)))*(0.934790112494514*sin(0.237831536167454*x0 + sin(0.233493611216545*x1)) + 1)**2*sin(0.551843345165253*sin(0.237831536167454*x0 + sin(0.233493611216545*x1)) - 0.572184205055237) + 0.38814902305603)*(-0.880073027487943*(0.572184205055237 - 0.551843345165253*sin(0.237831536167454*x0 + sin(0.233493611216545*x1)))*(0.934790112494514*sin(0.237831536167454*x0 + sin(0.233493611216545*x1)) + 1)**2*sin(0.551843345165253*sin(0.237831536167454*x0 + sin(0.233493611216545*x1)) - 0.572184205055237) - 0.120144009590149) + 0.437355995178223) - 15.3572707063216
2.73e-02"
kkk4,"-sin(x1) + sin(sin(x0)/x2)
(1.17e-02)","(x0 + x3 - tan(x1))**2
(1.31e-02)","-sin(x1 - x2)/x0**2
(6.14e-01)",-,"-0.00802950095385313 + 1.77537624775033*sin(2.42774021625519*(0.191867887973785*sin(x1) - 0.191867887973785*sin(sin(x0)/x2) - tan(0.0199189372360706*sin(x1) - 0.0199189372360706*sin(sin(x0)/x2) + 0.729867160320282) + 0.901860356330872)**2 - 0.0256870687007904)/(0.354926205332667 - (0.191867887973785*sin(x1) - 0.191867887973785*sin(sin(x0)/x2) - tan(0.0199189372360706*sin(x1) - 0.0199189372360706*sin(sin(x0)/x2) + 0.729867160320282) + 0.901860356330872)**2)**2
6.27e-01"
kkk5,"x1 - 0.09654
(9.01e-02)","sin(x3 - 0.479481369256973)/x2
(2.45e-02)","tan(x0 + 0.511343121528625)/(x2 - 0.2615)
(4.56e+00)",-,"-0.143561065196991 + 0.010702638886869*tan(1.42066884040833 - 0.0510954521596432*sin(0.252856284379959*x1 - 0.136798430341591)/(0.176967337386727 - 0.0196573343127966*x1))/(0.163970669264458 - 0.0414421632885933*sin(0.252856284379959*x1 - 0.136798430341591)/(0.176967337386727 - 0.0196573343127966*x1))
4.62e+00"
feynman0,"cos(0.674629330635071*x1/x2 + log(x0))
(6.35e-03)","-x1 + cos(x2)
(1.04e-02)","tan(tan(x0 - 0.330890446901321) + 0.109488487850556)
(9.63e-02)",-,"3.04572987556458 - 7.00257682800293*tan(tan(0.582148533806205*cos(log(m0) + 0.674629330635071*v/c) - 0.759196698665619*cos(0.221014380455017*cos(log(m0) + 0.674629330635071*v/c) - 1.00619268417358) + 0.349182156299886) - 0.109488487850556)
1.05e-01"
feynman1,"log(x0*x1/(x2*x3**(3/2)))
(9.59e-03)","x1**4
(2.46e-04)","x0 + sin(x0)
(1.45e-03)",-,"0.0217487843212426*(0.458098301075833*log(q1*q2/(e*r**(3/2))) + 1)**4 + 3.2171311378479*sin(0.00676030394452353*(0.458098301075833*log(q1*q2/(e*r**(3/2))) + 1)**4 - 0.000722922384738922) + 0.00594919348378298
6.37e-03"
feynman2,"-x4/x3 + x4/x2
(1.42e-02)","x2*(x1 + 1.0)
(1.36e-02)","(0.08246 - x2)/x0
(1.15e+02)",-,"0.657512664794922 + 173.88005065918*(1.74324917793274*(0.00765159539878368 + 0.0143728321418166*r2/r1 - 0.0143728321418166*r2/m2)*(0.933643877506256 - 0.0540593825280666*r2/r1 + 0.0540593825280666*r2/m2) - 0.0227959036458949 + 0.0250554278157871*r2/r1 - 0.0250554278157871*r2/m2)/(-0.717531085014343*(0.00765159539878368 + 0.0143728321418166*r2/r1 - 0.0143728321418166*r2/m2)*(0.933643877506256 - 0.0540593825280666*r2/r1 + 0.0540593825280666*r2/m2) + 0.966919348431339 - 0.0103129538414467*r2/r1 + 0.0103129538414467*r2/m2)
1.15e+02"
feynman3,"sin(2**(1/4)*x0**(1/4) + sqrt(x1))
(1.22e-02)","tan(x1) - 0.3011
(1.64e-02)","x1 - cos(4*x2**2)
(5.71e+00)",-,"-31.4305515289307*cos(4.39876551828002*(-tan(0.464985072612762*sin(2**(1/4)*k**(1/4) + sqrt(x)) - 0.266845434904099) - 0.0905771584318324)**2) - 31.9845778861495*tan(0.464985072612762*sin(2**(1/4)*k**(1/4) + sqrt(x)) - 0.266845434904099) + 31.6168490587509
5.72e+00"
